a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             1階,6.2万円,3300円,-,6.2万円,1LDK,50.01m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             1階,6.2万円,3300円,-,6.2万円,1LDK,50.01m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             2階,6.75万円,3300円,-,6.75万円,2LDK,59.58m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             2階,6.75万円,3300円,-,6.75万円,2LDK,59.58m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             2階,6.75万円,3300円,-,6.75万円,2LDK,59.55m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             2階,6.95万円,3300円,-,6.95万円,2LDK,59.55m2
一畑電気鉄道松江線 大津町駅 2階建 築4年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩11分 一畑電気鉄道松江線/武志駅 車6分(2.3km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.1km) , 築4年 2階建 ,             1階,6.1万円,2500円,-,6.1万円,1LDK,44.55m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分 一畑電気鉄道松江線/武志駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.5km) , 築18年 2階建 ,             1階,5.8万円,2000円,5.8万円,-,2LDK,54m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分 一畑電気鉄道松江線/武志駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.5km) , 築18年 2階建 ,             1階,5.8万円,2000円,5.8万円,-,2LDK,54m2
メルヴェールＭ．I,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分   , 築18年 2階建 ,             1階,5.8万円,2000円,5.8万円,-,2LDK,54m2
メルヴェールＭ．I,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分   , 築18年 2階建 ,             1階,5.8万円,2000円,5.8万円,-,2LDK,54m2
メゾンヴェールいずも,島根県出雲市今市町南本町, ＪＲ山陰本線/出雲市駅 歩5分   , 築10年 3階建 ,             2階,5.5万円,3000円,11万円,5.5万円,1K,28.56m2
ＪＲ山陰本線 直江駅 2階建 築5年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩5分 一畑電気鉄道松江線/武志駅 車10分(4.0km) 一畑電気鉄道松江線/大津町駅 車11分(4.1km) , 築5年 2階建 ,             1階,5.9万円,2000円,-,-,1LDK,50.23m2
ＪＲ山陰本線 直江駅 2階建 築5年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩5分 一畑電気鉄道松江線/武志駅 車10分(4.0km) 一畑電気鉄道松江線/大津町駅 車11分(4.1km) , 築5年 2階建 ,             1階,5.9万円,2200円,-,-,1LDK,50.23m2
バス 四絡コミュニティーセンター前 2階建 築5年,島根県出雲市小山町, バス/四絡コミュニティーセンター前 歩5分   , 築5年 2階建 ,             2階,5.9万円,3500円,-,-,1LDK,32.77m2
一畑電気鉄道松江線 大津町駅 2階建 築16年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩13分 一畑電気鉄道松江線/武志駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築16年 2階建 ,             2階,4.9万円,1700円,-,4.9万円,1LDK,46.28m2
一畑電気鉄道松江線 大津町駅 2階建 築16年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩13分 一畑電気鉄道松江線/武志駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築16年 2階建 ,             2階,5.1万円,1700円,-,5.1万円,1LDK,46.28m2
グリーンコート木の下　B棟,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩21分  , 築24年 2階建 ,             2階,5.3万円,3000円,5.3万円,-,3DK,63.5m2
ＪＲ山陰本線 直江駅 2階建 築12年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車7分(2.7km) ＪＲ山陰本線/荘原駅 車10分(3.7km) 一畑電気鉄道松江線/旅伏駅 車14分(5.6km) , 築12年 2階建 ,             2階,4.9万円,2200円,-,4.9万円,1LDK,42.8m2
一畑電車大社線 高浜駅 2階建 築15年,島根県出雲市里方町, 一畑電車大社線/高浜駅 歩7分 一畑電車大社線/遙堪駅 歩24分 一畑電気鉄道松江線/武志駅 歩38分 , 築15年 2階建 ,             2階,6.5万円,2200円,-,-,3LDK,68.9m2
Lien小山,島根県出雲市小山町, 市内循環線（150円バス）右回/小山町 歩4分 市内循環線（150円バス）左回/小山町 歩4分  , 新築 3階建 ,             1階,5.6万円,4000円,-,-,1LDK,39.35m2
Lien小山,島根県出雲市小山町, 市内循環線（150円バス）右回/小山町 歩4分 市内循環線（150円バス）左回/小山町 歩4分  , 新築 3階建 ,             2階,5.6万円,4000円,-,-,1LDK,36.5m2
Lien小山,島根県出雲市小山町, 市内循環線（150円バス）右回/小山町 歩4分 市内循環線（150円バス）左回/小山町 歩4分  , 新築 3階建 ,             2階,5.7万円,4000円,-,-,1LDK,39.35m2
Lien小山,島根県出雲市小山町, 市内循環線（150円バス）右回/小山町 歩4分 市内循環線（150円バス）左回/小山町 歩4分  , 新築 3階建 ,             3階,5.8万円,4000円,-,-,1LDK,39.35m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.65万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.65万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.65万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.65万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.65万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.85万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             1階,5.85万円,2500円,5.94万円,-,1LDK,40.5m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             2階,5.9万円,2500円,5.94万円,-,1LDK,36m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             2階,5.9万円,2500円,5.94万円,-,1LDK,36m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             2階,5.9万円,2500円,5.94万円,-,1LDK,36m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             2階,6.1万円,2500円,6.1万円,-,1LDK,36m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 新築 2階建 ,             2階,6.1万円,2500円,6.1万円,-,1LDK,36m2
メルシー　Ａ棟,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩11分   , 築17年 2階建 ,             2階,5.5万円,2500円,11万円,5.5万円,2DK,46.68m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩6分 一畑電気鉄道松江線/大津町駅 車10分(3.9km) ＪＲ山陰本線/荘原駅 車16分(6.4km) , 築4年 2階建 ,             1階,5.9万円,2500円,-,-,1LDK,44.55m2
ＪＲ山陰本線 出雲市駅 2階建 築12年,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 車9分(3.5km) 一畑電気鉄道松江線/電鉄出雲市駅 車10分(3.8km) ＪＲ山陰本線/西出雲駅 車11分(4.3km) , 築12年 2階建 ,             1階,4.8万円,2500円,-,4.8万円,2DK,45.89m2
ヴェリテ,島根県出雲市中野美保北２, 一畑バス/ゆめタウン出雲前 歩15分   , 築6年 2階建 ,             1階,4.9万円,2500円,9.8万円,-,1K,29.75m2
ダヴァンティ・パルコ,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 バス5分 (バス停)出雲工業高校前 歩7分   , 築22年 2階建 ,             2階,5.5万円,1700円,11万円,-,2LDK,65.64m2
ダヴァンティ・パルコ,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 バス5分 (バス停)出雲工業高校前 歩7分   , 築22年 2階建 ,             2階,5.5万円,1700円,11万円,-,2LDK,65.53m2
ＪＲ山陰本線 出雲市駅 2階建 築6年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車6分(2.2km) 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.6km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車9分(3.3km) , 築6年 2階建 ,             1階,4.8万円,3000円,4.8万円,-,1K,29.75m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.8km) , 築4年 2階建 ,             1階,6万円,2500円,-,6万円,1LDK,50.52m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.8km) , 築4年 2階建 ,             1階,6万円,2500円,-,-,1LDK,50.52m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.8km) , 築4年 2階建 ,             1階,6.2万円,2500円,-,-,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.8km) , 築4年 2階建 ,             1階,6.2万円,2500円,-,-,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.8km) , 築4年 2階建 ,             2階,6.75万円,2500円,-,6.75万円,2LDK,59.09m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.9km) , 築4年 2階建 ,             1階,6万円,2500円,-,-,1LDK,50.52m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.9km) , 築4年 2階建 ,             1階,6万円,2500円,-,-,1LDK,50.52m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.9km) , 築4年 2階建 ,             1階,6.2万円,2500円,-,-,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 車8分(2.9km) ＪＲ山陰本線/荘原駅 車9分(3.5km) 一畑電気鉄道松江線/旅伏駅 車15分(5.9km) , 築4年 2階建 ,             1階,6.2万円,2500円,-,-,1LDK,50.49m2
一畑電気鉄道松江線 武志駅 2階建 築5年,島根県出雲市高岡町, 一畑電気鉄道松江線/武志駅 歩25分   , 築5年 2階建 ,             2階,4.95万円,3000円,4.95万円,-,1K,30.74m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩11分 一畑電気鉄道松江線/大津町駅 車11分(4.3km) ＪＲ山陰本線/荘原駅 車15分(6.0km) , 築4年 2階建 ,             1階,6.15万円,2800円,-,6.15万円,1LDK,50.03m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩11分 一畑電気鉄道松江線/大津町駅 車11分(4.3km) ＪＲ山陰本線/荘原駅 車15分(6.0km) , 築4年 2階建 ,             1階,6.35万円,2500円,-,-,1LDK,50.05m2
一畑電気鉄道松江線 武志駅 2階建 築16年,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分 一畑電気鉄道松江線/大津町駅 車7分(2.7km) 一畑電車大社線/高浜駅 車8分(2.9km) , 築16年 2階建 ,             1階,5.15万円,2500円,-,5.15万円,2DK,46.22m2
布智ビレッジＢ,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 バス7分 (バス停)二軒茶屋前 歩1分   , 築15年 2階建 ,             1階,4.7万円,2500円,-,4.7万円,2DK,40.12m2
ＪＲ山陰本線 西出雲駅 2階建 築15年,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 車9分(3.6km) ＪＲ山陰本線/出雲市駅 車10分(3.9km) , 築15年 2階建 ,             1階,4.7万円,2500円,-,4.7万円,2DK,40.12m2
Lien渡橋,島根県出雲市渡橋町, 小田線（9号線経由）/観音寺西 歩7分 大寺線/姫原町 歩8分  , 新築 3階建 ,             1階,5.8万円,4000円,-,-,1LDK,30.99m2
Lien渡橋,島根県出雲市渡橋町, 小田線（9号線経由）/観音寺西 歩7分 大寺線/姫原町 歩8分  , 新築 3階建 ,             3階,5.9万円,4000円,-,-,1LDK,30.54m2
Lien大津新崎,島根県出雲市大津新崎町３, 一畑電気鉄道松江線/大津町駅 歩7分 三刀屋出雲線/鐘紡前 歩6分 三刀屋出雲線/大津大曲 歩8分 , 新築 3階建 ,             2階,5.8万円,4000円,-,-,1LDK,30.76m2
Lien大津新崎,島根県出雲市大津新崎町３, 一畑電気鉄道松江線/大津町駅 歩7分 三刀屋出雲線/鐘紡前 歩6分 三刀屋出雲線/大津大曲 歩8分 , 新築 3階建 ,             1階,5.8万円,4000円,-,-,1LDK,30.14m2
Lien大津新崎,島根県出雲市大津新崎町３, 一畑電気鉄道松江線/大津町駅 歩7分 三刀屋出雲線/鐘紡前 歩6分 三刀屋出雲線/大津大曲 歩8分 , 新築 3階建 ,             3階,5.9万円,4000円,-,-,1LDK,30.76m2
Lien大津新崎,島根県出雲市大津新崎町３, 一畑電気鉄道松江線/大津町駅 歩7分 三刀屋出雲線/鐘紡前 歩6分 三刀屋出雲線/大津大曲 歩8分 , 新築 3階建 ,             3階,6万円,4000円,-,-,1LDK,30.14m2
一畑電気鉄道松江線 大津町駅 2階建 築15年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分 一畑電気鉄道松江線/武志駅 車5分(1.9km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車5分(2.0km) , 築15年 2階建 ,             2階,5.05万円,1700円,-,5.05万円,1LDK,46.09m2
ハイム松下,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩26分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分  , 築8年 1階建 ,             1階,6.6万円,-,19.8万円,-,1LDK,47.52m2
ハイム松下,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩26分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分  , 築8年 1階建 ,             1階,6.6万円,-,19.8万円,-,1LDK,47.17m2
